Company Name,Ticker,Sector,Industry,Exchange,Market Cap (mil)
"Casella Waste Systems","CWST","Industrial Products","Pollution Control","NSDQ","4964.5"
"California Water Service Group","CWT","Utilities","Utility - Water Supply","NYSE","2811.1"
"China Railway Construction","CWYCY","Construction","Building Products - Heavy Construction","OTC",""
"Cemex","CX","Construction","Building Products - Concrete and Aggregates","NYSE","11372.92"
"CXAPP INC","CXAI","Business Services","Technology Services","NSDQ","18"
"China XD Plastics","CXDC","Basic Materials","Chemical - Plastic","OTC",""
"Crexendo","CXDO","Computer and Technology","Internet - Services","NSDQ","135.38"
"Commodore Applied Technologies","CXIA","Industrial Products","Pollution Control","OTC",""
"Sprinklr","CXM","Business Services","Technology Services","NYSE","3379.8"
"Crane NXT, Co.","CXT","Business Services","Technology Services","NYSE","3148.02"
"Celyad","CYAD","Medical","Medical - Biomedical and Genetics","NSDQ",""
"CyberAgent","CYAGF","Computer and Technology","Internet - Services","OTC",""
"Cyanotech","CYAN","Medical","Medical - Drugs","NSDQ","6.1"
"Clean Enviro Tech","CYAP","Oils-Energy","Solar","OTC",".5"
"Cyber Digital","CYBD","Computer and Technology","Communication - Network Software","OTC",""
"Cybin Inc.","CYBN","Medical","Medical - Biomedical and Genetics","AMEX","164.39"
"CyberArk Software","CYBR","Computer and Technology","Computers - IT Services","NSDQ","9194.19"
"Cyclacel Pharmaceuticals","CYCC","Medical","Medical - Biomedical and Genetics","NSDQ","1.99"
"Cyclerion Therapeutics","CYCN","Medical","Medical - Biomedical and Genetics","NSDQ","8.92"
"China Yuchai International","CYD","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE",""
"CytoDyn","CYDY","Medical","Medical - Drugs","OTC","205.1"
"CyberAgent","CYGIY","Computer and Technology","Internet - Services","OTC","3059.54"
"Community Health Systems","CYH","Medical","Medical - Hospital","NYSE","496.59"
"Cyngn","CYN","Auto-Tires-Trucks","Automotive - Original Equipment","NSDQ","5.69"
"Century Petroleum","CYPE","Oils-Energy","Oil and Gas - Exploration and Production - United States","OTC",""
"CYREN","CYRNQ","Computer and Technology","Internet - Software","OTC","0"
"CryoPort","CYRX","Transportation","Transportation - Services","NSDQ","715.36"
"Cyteir Therapeutics","CYT","Medical","Medical - Drugs","NSDQ","111.59"
"Cyclo Therapeutics","CYTH","Medical","Medical - Biomedical and Genetics","NSDQ","42.28"
"Cytokinetics","CYTK","Medical","Medical - Biomedical and Genetics","NSDQ","8393.42"
"Altamira Therapeutics","CYTO","Medical","Medical - Drugs","NSDQ",".95"
"Cyxtera Technologies","CYXTQ","Business Services","Technology Services","OTC",".13"
"Cynata Therapeutics","CYYNF","Medical","Medical - Biomedical and Genetics","OTC","10.32"
"Cazoo Group","CZOO","Auto-Tires-Trucks","Automotive - Foreign","NYSE","1.66"
"Caesars Entertainment","CZR","Consumer Discretionary","Leisure and Recreation Services","NSDQ","9577.57"
"Dominion Energy","D","Utilities","Utility - Electric Power","NYSE","39605.6"
"DAC Technologies Group International","DAAT","Industrial Products","Security and Safety Services","OTC",""
"Danaos","DAC","Transportation","Transportation - Shipping","NYSE","1546.4"
"Dada Nexus Limited","DADA","Business Services","Technology Services","NSDQ","387.78"
"Data IO","DAIO","Computer and Technology","Electronics - Miscellaneous Components","NSDQ","26.48"
"Daktronics","DAKT","Computer and Technology","Electronics - Miscellaneous Products","NSDQ","371.29"
"Delta Air Lines","DAL","Transportation","Transportation - Airline","NYSE","24754.02"
"DallasNews","DALN","Consumer Staples","Publishing - Newspapers","NSDQ","23.77"
"Dana","DAN","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","1892.27"
"Danone","DANOY","Consumer Staples","Food - Miscellaneous","OTC","45105.79"
