Company Name,Ticker,Sector,Industry,Exchange,Market Cap (mil)
"Agilent Technologies","A","Computer and Technology","Electronics - Testing Equipment","NYSE","38248.74"
"Alcoa","AA","Industrial Products","Metal Products - Distribution","NYSE","5359.51"
"AAC Technologies","AACAY","Computer and Technology","Electronics - Miscellaneous Components","OTC","3194"
"ATA","AACG","Consumer Discretionary","Schools","NSDQ","33.29"
"Armada Acquisition Corp. I","AACI","Unclassified","Unclassified","NSDQ","87.84"
"Ares Acquisition Corporation II","AACT","Unclassified","Unclassified","NYSE","653.13"
"Aadi Bioscience","AADI","Medical","Medical - Biomedical and Genetics","NSDQ","42.18"
"African Agriculture Holdings Inc.","AAGR","Consumer Staples","Agriculture - Operations","NSDQ","8.98"
"Alabama Aircraft Industries","AAIIQ","Aerospace","Aerospace - Defense Equipment","OTC",""
"American Airlines","AAL","Transportation","Transportation - Airline","NSDQ","8633.28"
"Aaron's","AAN","Consumer Discretionary","Consumer Services - Miscellaneous","NYSE","317.24"
"Applied Optoelectronics","AAOI","Computer and Technology","Electronics - Semiconductors","NSDQ","618.7"
"AAON","AAON","Construction","Building Products - Air Conditioner and Heating","NSDQ","5814.32"
"Advance Auto Parts","AAP","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE","3647.47"
"AAP","AAPJ","Computer and Technology","Communication - Components","OTC",".71"
"Apple","AAPL","Computer and Technology","Computer - Mini computers","NSDQ","2891567.5"
"Accelerate Acquisition","AAQC","Unclassified","Unclassified","NYSE",""
"Global Acquisitions","AASP","Unclassified","Unclassified","OTCBB",""
"Autoscope Technologies","AATC","Business Services","Technology Services","OTC","43.17"
"Almaden Minerals","AAU","Basic Materials","Mining - Gold","AMEX",""
"Advantage Oil & Gas","AAVVF","Oils-Energy","Alternative Energy - Other","OTC","1135.58"
"Ascend Wellness Holdings, Inc.","AAWH","Medical","Medical Services","OTC","295.57"
"American Battery Technology Company","ABAT","Computer and Technology","Electronics - Miscellaneous Products","NSDQ","174.98"
"ABB","ABBNY","Industrial Products","Manufacturing - Electronics","OTC","80775.57"
"AbbVie","ABBV","Medical","Large Cap Pharmaceuticals","NYSE","292320"
"ABCO Energy","ABCE","Computer and Technology","Electronics - Miscellaneous Components","OTC",".03"
"AbCellera Biologics","ABCL","Medical","Medical - Biomedical and Genetics","NSDQ","1564.02"
"Abeona Therapeutics","ABEO","Medical","Medical - Biomedical and Genetics","NSDQ","130.06"
"Ambev","ABEV","Consumer Staples","Beverages - Alcohol","NYSE","43628.1"
"Asbury Automotive Group","ABG","Retail-Wholesale","Automotive - Retail and Whole Sales","NYSE","4161.29"
"Ability","ABILF","Computer and Technology","Computers - IT Services","OTC",""
"ARCA biopharma","ABIO","Medical","Medical - Biomedical and Genetics","NSDQ",""
"Able Energy","ABLE","Oils-Energy","Oil and Gas - Refining and Marketing","OTC",""
"American Biltrite","ABLT","Construction","Building Products - Miscellaneous","OTC",""
"Able View Global Inc.","ABLV","Business Services","Business - Services","NSDQ","99.54"
"ABM Industries","ABM","Business Services","Building Products - Maintenance Service","NYSE","2644.56"
"American Bio Medica","ABMC","Medical","Medical - Products","OTC",".01"
"Advanced Biomedical Technologies","ABMT","Medical","Medical - Instruments","OTC","2.8"
"Airbnb","ABNB","Computer and Technology","Internet - Content","NSDQ","88926.79"
"Acumen Pharmaceuticals","ABOS","Medical","Medical - Biomedical and Genetics","NSDQ","224.69"
"Absci Corporation","ABSI","Medical","Medical - Biomedical and Genetics","NSDQ","370.82"
"Abbott Laboratories","ABT","Medical","Medical - Products","NYSE","197771.72"
"ABITS GROUP","ABTS","Business Services","Advertising and Marketing","NSDQ","38.97"
"Arbutus Biopharma","ABUS","Medical","Medical - Biomedical and Genetics","NSDQ","387.38"
"ABVC BioPharma","ABVC","Medical","Medical - Biomedical and Genetics","NSDQ","11.07"
"Abivax SA Sponsored ADR","ABVX","Medical","Medical - Biomedical and Genetics","NSDQ","477.93"
"Airborne Wireless Network","ABWN","Computer and Technology","Wireless National","OTC",""
"Arcosa","ACA","Construction","Building Products - Miscellaneous","NYSE","3848.63"
"Atlantic Coastal Acquisition Corp. II","ACAB","Unclassified","Unclassified","NSDQ","124.67"
"Acri Capital Acquisition Corporation","ACAC","Unclassified","Unclassified","NSDQ","59.85"
"ACADIA Pharmaceuticals","ACAD","Medical","Medical - Biomedical and Genetics","NSDQ","4716.89"
"Atlantic Coastal Acquisition","ACAH","Unclassified","Unclassified","NSDQ","128.63"
"Safeplus International Holdings Limited","ACAI","Medical","Medical - Products","OTC","0"
"Aurora Cannabis","ACB","Medical","Medical - Products","NSDQ","217.74"
"Ace Global Business Acquisition","ACBA","Consumer Discretionary","Media Conglomerates","NSDQ","41.05"
"Acacia Diversified Holdings","ACCA","Retail-Wholesale","Automotive - Retail and Whole Sales","OTC","0"
"Accolade","ACCD","Business Services","Technology Services","NSDQ","1078.29"
"Acco Brands","ACCO","Industrial Products","Office Supplies","NYSE","588.54"
"ProFrac Holding Corp.","ACDC","Oils-Energy","Alternative Energy - Other","NSDQ","1189.04"
"Air Canada","ACDVF","Transportation","Transportation - Airline","OTC","4972.14"
"Accel Entertainment","ACEL","Consumer Discretionary","Gaming","NYSE","839.55"
"Acer Therapeutics","ACER","Medical","Medical - Drugs","OTC","16.15"
"Adicet Bio","ACET","Medical","Medical - Biomedical and Genetics","NSDQ","143.74"
"Acorn Energy","ACFN","Computer and Technology","Electronics - Miscellaneous Products","OTC","16.77"
"ACI Global","ACGJ","Industrial Products","Security and Safety Services","OTC",""
"Aceragen, Inc.","ACGN","Medical","Medical - Biomedical and Genetics","NSDQ","3.2"
"Aluminum Corp. of China Limited","ACH","Basic Materials","Mining - Non Ferrous","NYSE",""
"Acadia Healthcare","ACHC","Medical","Medical - Hospital","NSDQ","7917.67"
"Arch Biopartners Inc.","ACHFF","Medical","Medical - Drugs","OTC","69.72"
"Achilles Therapeutics","ACHL","Medical","Medical - Biomedical and Genetics","NSDQ","36.13"
"Archer Aviation","ACHR","Aerospace","Aerospace - Defense","NYSE","1555.02"
"Achieve Life Sciences","ACHV","Medical","Medical - Drugs","NSDQ","90.8"
"Albertsons Companies","ACI","Consumer Staples","Consumer Products - Staples","NYSE","13081.87"
"AC Immune","ACIU","Medical","Medical - Biomedical and Genetics","NSDQ","385.93"
"ACI Worldwide","ACIW","Computer and Technology","Computer - Software","NSDQ","3281.65"
"Axcelis Technologies","ACLS","Computer and Technology","Electronics - Manufacturing Machinery","NSDQ","3737.09"
"Arcellx","ACLX","Medical","Medical - Biomedical and Genetics","NSDQ","2704.99"
"AECOM","ACM","Construction","Engineering - R and D Services","NYSE","12308.18"
"ACM Research","ACMR","Computer and Technology","Semiconductor Equipment - Material Services","NSDQ","1212.33"
"Accenture","ACN","Business Services","Consulting Services","NYSE","223529.36"
"American Community Newspapers","ACNI","Consumer Staples","Publishing - Newspapers","OTC",""
"Ascent Industries Co.","ACNT","Industrial Products","Manufacturing - General Industrial ","NSDQ","107.34"
"Accelera Innovations","ACNV","Computer and Technology","Internet - Software","OTC",""
"Alpha Cognition Inc.","ACOGF","Medical","Medical - Biomedical and Genetics","OTC","36.25"
"Aclarion","ACON","Medical","Medical Services","NSDQ","1.73"
"Acorda Therapeutics","ACOR","Medical","Medical - Biomedical and Genetics","NSDQ","19.63"
"American Clean Resources Group, Inc.","ACRG","Basic Materials","Mining - Miscellaneous","OTC","116.27"
"Aclaris Therapeutics","ACRS","Medical","Medical - Drugs","NSDQ","65.41"
"Acrivon Therapeutics, Inc.","ACRV","Medical","Medical - Drugs","NSDQ","106.31"
"Acasti Pharma","ACST","Medical","Medical - Generic Drugs","NSDQ","25.19"
"Acacia Research","ACTG","Business Services","Business - Services","NSDQ","374.57"
"Acme United","ACU","Consumer Discretionary","Consumer Products - Discretionary","AMEX","154.3"
"Acura Pharmaceuticals","ACUR","Medical","Medical - Generic Drugs","OTC",".07"
"Acusphere","ACUS","Medical","Medical - Drugs","OTC",""
"ACV Auctions","ACVA","Retail-Wholesale","Internet - Commerce","NSDQ","2261.76"
"Acurx Pharmaceuticals","ACXP","Medical","Medical - Biomedical and Genetics","NSDQ","63.75"
"Adagene","ADAG","Medical","Medical - Biomedical and Genetics","NSDQ","138.96"
"Adaptimmune Therapeutics","ADAP","Medical","Medical - Biomedical and Genetics","NSDQ","818.14"
"Adobe","ADBE","Computer and Technology","Computer - Software","NSDQ","271604.66"
"","ADCOF","Business Services","Advertising and Marketing","OTC","8.47"
"ADC Therapeutics","ADCT","Medical","Medical - Biomedical and Genetics","NYSE",""
"Color Star Technology","ADD","Business Services","Technology Services","NSDQ","5.31"
"Adidas","ADDYY","Consumer Discretionary","Shoes and Retail Apparel ","OTC",""
"ADEIA INC","ADEA","Business Services","Technology Services","NSDQ","1209.98"
"Advanced Emissions Solutions","ADES","Industrial Products","Pollution Control","NSDQ","88.93"
"Adit EdTech Acquisition","ADEX","Medical","Medical Services","AMEX",""
"American Defense Systems","ADFS","Aerospace","Aerospace - Defense Equipment","OTC",""
"Analog Devices","ADI","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","93475.91"
"Adial Pharmaceuticals","ADIL","Medical","Medical - Biomedical and Genetics","NSDQ","1.77"
"American Medical Technologies","ADLI","Medical","Medical - Instruments","OTCBB",""
"Archer Daniels Midland","ADM","Consumer Staples","Agriculture - Operations","NYSE","37101.98"
"ADMA Biologics","ADMA","Medical","Medical - Biomedical and Genetics","NSDQ","1127.58"
"Adamant Dri Processing And Minerals Group","ADMG","Basic Materials","Mining - Miscellaneous","OTC","15.24"
"ADM Tronics Unlimited","ADMT","Medical","Medical - Instruments","OTCBB",""
"Advent Technologies Holdings","ADN","Industrial Products","Manufacturing - Electronics","NSDQ","11.09"
"Adient","ADNT","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","3058.3"
"Edoc Acquisition","ADOC","Unclassified","Unclassified","NSDQ","41.92"
"Adocia","ADOCY","Medical","Medical - Biomedical and Genetics","OTC","165.51"
"Automatic Data Processing","ADP","Business Services","Outsourcing","NSDQ","97047.41"
"Adaptive Biotechnologies","ADPT","Medical","Medical - Biomedical and Genetics","NSDQ","637"
"Ahold","ADRNY","Consumer Staples","Consumer Products - Staples","OTC","27642.77"
"Ault Disruptive Technologies Corporation","ADRT","Unclassified","Unclassified","AMEX","34.04"
"Andritz","ADRZY","Industrial Products","Industrial Services","OTC","6084"
"ADS-TEC Energy","ADSE","Business Services","Technology Services","NSDQ","332.87"
"Autodesk","ADSK","Computer and Technology","Computer - Software","NSDQ","51861.55"
"AdStar","ADST","Business Services","Advertising and Marketing","OTC",""
"Allied Security Innovations","ADSV","Industrial Products","Security and Safety Services","OTC",""
"ADT","ADT","Industrial Products","Security and Safety Services","NYSE","5816.69"
"Advanced Deposition Technologies","ADTC","Computer and Technology","Electronics - Miscellaneous Components","OTC",""
"AdTheorent","ADTH","Business Services","Advertising and Marketing","NSDQ","166.78"
"Adaptive Medias","ADTM","Business Services","Advertising and Marketing","OTC",""
"ADTRAN Holdings, Inc.","ADTN","Business Services","Technology Services","NSDQ","561.91"
"Aditx Therapeutics","ADTX","Medical","Medical - Drugs","NSDQ","1.24"
"Addus HomeCare","ADUS","Medical","Medical - Outpatient and Home Healthcare","NSDQ","1410.54"
"Advantage Solutions","ADV","Business Services","Business - Information Services","NSDQ","1253.35"
"Adverum Biotechnologies","ADVM","Medical","Medical - Biomedical and Genetics","NSDQ","85.98"
"ADVA Optical","ADVOF","Computer and Technology","Communication - Network Software","OTC","1086.33"
"Addex Therapeutics","ADXN","Medical","Medical - Drugs","NSDQ","6.89"
"Ayala Pharmaceuticals, Inc.","ADXS","Medical","Medical - Drugs","OTC","2.76"
"Adyen","ADYEY","Business Services","Financial Transaction Services","OTC","40512.13"
"Alliqua BioMedical","ADYX","Medical","Medical - Biomedical and Genetics","OTC",""
"Adams Resources & Energy","AE","Oils-Energy","Oil and Gas - Refining and Marketing","AMEX","61.75"
"AltEnergy Acquisition Corp.","AEAE","Unclassified","Unclassified","NSDQ","80.16"
"Ameren","AEE","Utilities","Utility - Electric Power","NYSE","18903.12"
"Antelope Enterprise Holdings L","AEHL","Conglomerates","Diversified Operations","NSDQ","1.53"
"Aehr Test Systems","AEHR","Computer and Technology","Electronics - Measuring Instruments","NSDQ","503.12"
"ALSET INC","AEI","Conglomerates","Diversified Operations","NSDQ","11.36"
"Advanced Energy Industries","AEIS","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","3810.86"
"Agnico Eagle Mines","AEM","Basic Materials","Mining - Gold","NYSE","26167.08"
"Aethlon Medical","AEMD","Medical","Medical - HMOs","NSDQ","4.94"
"Alliance Entertainment Holding Corporation","AENT","Consumer Discretionary","Media Conglomerates","NSDQ","124.28"
"American Eagle Outfitters","AEO","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","4126.57"
"AEON Biopharma, Inc.","AEON","Medical","Medical - Biomedical and Genetics","AMEX","266.07"
"American Electric Power","AEP","Utilities","Utility - Electric Power","NSDQ","42853.63"
"W2 Energy","AEPT","Oils-Energy","Alternative Energy - Other","OTC","10.97"
"Applied Energetics","AERG","Computer and Technology","Lasers Systems and Components","OTC","422.49"
"AER Energy Resources","AERN","Oils-Energy","Oil and Gas - Exploration and Production - United States","OTC",""
"Aeries Technology, Inc.","AERT","Business Services","Technology Services","NSDQ","42.72"
"AES","AES","Utilities","Utility - Electric Power","NYSE","12347.96"
"Atlas Energy Solutions Inc.","AESI","Oils-Energy","Oil and Gas - Integrated - United States","NYSE","1625.42"
"Arc Resources","AETUF","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","OTC","9696.74"
"Aeva Technologies","AEVA","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","295.93"
"ATOS ORIGIN","AEXAY","Business Services","Technology Services","OTC","596.2"
"ADDvantage Technologies Group","AEY","Computer and Technology","Electronics - Miscellaneous Products","NSDQ","3.82"
"Audioeye","AEYE","Computer and Technology","Internet - Software","NSDQ","59.33"
"AEterna Zentaris","AEZS","Medical","Medical - Biomedical and Genetics","NSDQ","10.1"
"Aura FAT Projects Acquisition Corp.","AFAR","Unclassified","Unclassified","NSDQ","63.43"
"Affinity Networks","AFFN","Computer and Technology","Internet - Software","OTC",""
"Affymax","AFFY","Medical","Medical - Biomedical and Genetics","OTC",""
"Acutus Medical","AFIB","Medical","Medical - Drugs","NSDQ","5.57"
"Armstrong Flooring","AFIIQ","Construction","Building Products - Wood","OTC","0"
"Air France-KLM","AFLYY","Transportation","Transportation - Airline","OTC","880.41"
"Affimed","AFMD","Medical","Medical - Biomedical and Genetics","NSDQ","94.68"
"All For One Media","AFOM","Consumer Discretionary","Film and Television Production and Distribution","OTC",".89"
"FORAFRIC GLOBAL","AFRI","Consumer Staples","Agriculture - Operations","NSDQ","600.64"
"Affirm","AFRM","Business Services","Business - Services","NSDQ","12609.46"
"Aftermaster","AFTM","Consumer Discretionary","Audio Video Production","OTC",""
"Afya","AFYA","Consumer Discretionary","Schools","NSDQ","1978.49"
"First Majestic Silver","AG","Basic Materials","Mining - Silver","NYSE","1607.32"
"Allied Gaming & Entertainment Inc.","AGAE","Consumer Discretionary","Gaming","NSDQ","36.29"
"AGBA Group Holding Limited","AGBA","Retail-Wholesale","Internet - Commerce","NSDQ","26.01"
"AGCO","AGCO","Industrial Products","Manufacturing - Farm Equipment","NYSE","8805.14"
"Andes Gold","AGCZ","Basic Materials","Mining - Gold","OTC",""
"AgeX Therapeutics","AGE","Medical","Medical - Drugs","AMEX","15.37"
"Agenus","AGEN","Medical","Medical - Biomedical and Genetics","NSDQ","244.16"
"Agrify","AGFY","Business Services","Technology Services","NSDQ","1.97"
"AEON Global Health","AGHC","Medical","Medical Services","OTC",""
"Alamos Gold","AGI","Basic Materials","Mining - Gold","NYSE","5104.87"
"AgileThought","AGILQ","Business Services","Technology Services","OTC",".47"
"Agios Pharmaceuticals","AGIO","Medical","Medical - Products","NSDQ","1270.96"
"Agilon Health","AGL","Medical","Medical Services","NYSE","2996.58"
"Avangrid","AGR","Utilities","Utility - Electric Power","NYSE","12697.69"
"AgriFORCE Growing Systems","AGRI","Consumer Staples","Agriculture - Operations","NSDQ",".54"
"Adecoagro","AGRO","Consumer Staples","Agriculture - Operations","NYSE","1130.47"
"Agile Therapeutics","AGRX","Medical","Medical - Generic Drugs","NSDQ","4.7"
"PlayAGS","AGS","Consumer Discretionary","Gaming","NYSE","299.63"
"Agiliti","AGTI","Medical","Medical Services","NYSE","974.92"
"Agritek Holdings","AGTK","Business Services","Financial Transaction Services","OTC",""
"Argan","AGX","Construction","Building Products - Miscellaneous","NYSE","616.02"
"Agilysys","AGYS","Computer and Technology","Computer - Integrated Systems","NSDQ","2047.27"
"Allergy Therapeutics","AGYTF","Medical","Medical - Drugs","OTC","6.89"
"Alpha Technologies Group","AHAG","Computer and Technology","Electronics - Miscellaneous Components","OTC",""
"Anhui Conch Cement","AHCHY","Construction","Building Products - Concrete and Aggregates","OTC",""
"AdaptHealth","AHCO","Medical","Medical - Products","NSDQ","945.18"
"Adecco","AHEXY","Business Services","Outsourcing","OTC","7709.72"
"Akso Health Group","AHG","Retail-Wholesale","Internet - Commerce","NSDQ","25.49"
"Alternate Health","AHGIF","Medical","Medical Info Systems","OTC",""
"Advanced Human Imaging","AHI","Business Services","Technology Services","NSDQ","16.63"
"COREwafer Industries","AHIX","Computer and Technology","Electronics - Testing Equipment","OTC","19.76"
"Asahi Kasei","AHKSY","Basic Materials","Chemical - Diversified ","OTC","10531.16"
"Athena Gold","AHNR","Basic Materials","Mining - Gold","OTC","5.51"
"Allied Healthcare Products","AHPIQ","Medical","Medical - Instruments","OTC","0"
"C3.ai","AI","Computer and Technology","Computers - IT Services","NYSE","3141.66"
"AiAdvertising, Inc.","AIAD","Business Services","Technology Services","OTC","6.54"
"AIB Acquisition","AIB","Unclassified","Unclassified","NSDQ","41.25"
"Agent Information Software","AIFS","Computer and Technology","Computer - Software","OTC","8.9"
"Artistmss International Group","AIGI","Consumer Staples","Cosmetics","OTC",""
"Aesthetic Medical International","AIH","Medical","Medical Services","NSDQ","19.14"
"Senmiao Technology","AIHS","Computer and Technology","Internet - Services","NSDQ","4.11"
"AIM ImmunoTech","AIM","Medical","Medical - Drugs","AMEX","22.09"
"Ainos","AIMD","Medical","Medical - Drugs","NSDQ","6.57"
"Albany International","AIN","Industrial Products","Textile - Products","NYSE","2857.3"
"Arteris","AIP","Computer and Technology","Internet - Software","NSDQ","192.75"
"Air Liquide","AIQUY","Basic Materials","Chemical - Diversified ","OTC","100456.75"
"AAR","AIR","Aerospace","Aerospace - Defense Equipment","NYSE","2114.56"
"reAlpha Tech Corp.","AIRE","Business Services","Technology Services","NSDQ","66.62"
"Airgain","AIRG","Computer and Technology","Communication - Components","NSDQ","36.97"
"Air Industries Group","AIRI","Aerospace","Aerospace - Defense","AMEX","11"
"Airspan Networks","AIRO","Computer and Technology","Wireless Equipment","OTC",""
"AirSculpt Technologies","AIRS","Business Services","Technology Services","NSDQ","457.7"
"Air T","AIRT","Transportation","Transportation - Air Freight and Cargo","NSDQ","43.23"
"Air China","AIRYY","Transportation","Transportation - Airline","OTC","9534.17"
"Airship AI Holdings, Inc.","AISP","Business Services","Technology Services","NSDQ","19.87"
"Applied Industrial Technologies","AIT","Industrial Products","Manufacturing - General Industrial ","NYSE","6561.68"
"AI Transportation Acquisition Corp.","AITR","Unclassified","Unclassified","NSDQ","21.03"
"Meta Data","AIU","Industrial Products","Steel - Pipe and Tube","NYSE","76.17"
"American International Ventures","AIVN","Basic Materials","Mining - Gold","OTC",".84"
"XIAO-I Corporation Unsponsored ADR","AIXI","Business Services","Technology Services","NSDQ","141.21"
"Ajinomoto","AJINY","Consumer Staples","Food - Miscellaneous","OTC","20810.31"
"a.k.a. Brands Holding Corp.","AKA","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","107.65"
"Akamai Technologies","AKAM","Computer and Technology","Internet - Services","NSDQ","17813.26"
"Akanda Corp.","AKAN","Medical","Medical - Products","NSDQ","1.6"
"Akebia Therapeutics","AKBA","Medical","Medical - Drugs","NSDQ","292"
"Akili, Inc.","AKLI","Medical","Medical Info Systems","NSDQ","31.01"
"oceansix future paths Ltd.","AKMYF","Business Services","Waste Removal Services","OTC",".18"
"Embotelladora Andina","AKO.A","Consumer Staples","Beverages - Soft drinks","NYSE","1919.96"
"Embotelladora Andina","AKO.B","Consumer Staples","Beverages - Soft drinks","NYSE","2440.58"
"Akero Therapeutics","AKRO","Medical","Medical - Biomedical and Genetics","NSDQ","1249.91"
"Aksys","AKSY","Medical","Medical - Products","OTC",""
"Akoustis Technologies","AKTS","Computer and Technology","Semiconductors - Radio Frequency","NSDQ","47.32"
"Akari Therapeutics","AKTX","Medical","Medical - Biomedical and Genetics","NSDQ","16.28"
"Akumin","AKUMQ","Medical","Medical Services","OTC","31"
"Akoya Biosciences","AKYA","Medical","Medical - Biomedical and Genetics","NSDQ","254.21"
"AkzoNobel","AKZOY","Basic Materials","Chemical - Diversified ","OTC","13222.36"
"Air Lease","AL","Transportation","Transportation - Equipment and Leasing","NYSE","4428.87"
"Alanco Technologies","ALAN","Industrial Products","Pollution Control","OTC",""
"ALARUM TEC LTD","ALAR","Business Services","Technology Services","NSDQ","43.78"
"Albemarle","ALB","Basic Materials","Chemical - Diversified ","NYSE","14792.35"
"Avalon GloboCare","ALBT","Medical","Medical - Biomedical and Genetics","NSDQ","4.84"
"Alcon","ALC","Medical","Medical - Instruments","NYSE","39472.66"
"AltC Acquisition","ALCC","Oils-Energy","Alternative Energy - Other","NYSE","325.59"
"Alternus Clean Energy, Inc.","ALCE","Oils-Energy","Alternative Energy - Other","NSDQ","20.62"
"Alico","ALCO","Consumer Staples","Agriculture - Operations","NSDQ","215.38"
"Alchemy Investments Acquisition Corp 1","ALCY","Unclassified","Unclassified","NSDQ","126.63"
"Aldeyra Therapeutics","ALDX","Medical","Medical - Drugs","NSDQ","188.82"
"Allete","ALE","Utilities","Utility - Electric Power","NYSE","3502.07"
"Alector","ALEC","Medical","Medical - Biomedical and Genetics","NSDQ","654.58"
"Alfi","ALFIQ","Computer and Technology","Computers - IT Services","OTC","0"
"Alfa Laval","ALFVY","Construction","Engineering - R and D Services","OTC","15309.59"
"Alamo Group","ALG","Industrial Products","Manufacturing - Farm Equipment","NYSE","2439.28"
"Allegro MicroSystems","ALGM","Computer and Technology","Electronics - Semiconductors","NSDQ","5044.1"
"Align Technology","ALGN","Medical","Medical - Dental Supplies","NSDQ","20804.64"
"Aligos Therapeutics","ALGS","Medical","Medical - Biomedical and Genetics","NSDQ","55.23"
"Allegiant","ALGT","Transportation","Transportation - Airline","NSDQ","1400.5"
"Alignment Healthcare","ALHC","Medical","Medical Services","NSDQ","1480.65"
"Artificial Life","ALIF","Computer and Technology","Internet - Software","OTC",""
"Alimera Sciences","ALIM","Medical","Medical - Biomedical and Genetics","NSDQ","203.9"
"Alight","ALIT","Computer and Technology","Internet - Software","NYSE","4628"
"Alaska Air Group","ALK","Transportation","Transportation - Airline","NYSE","4503.62"
"Alkermes","ALKS","Medical","Medical - Biomedical and Genetics","NSDQ","4706.04"
"Alkami Technology","ALKT","Computer and Technology","Internet - Software","NSDQ","2372.61"
"Allegion","ALLE","Industrial Products","Security and Safety Services","NYSE","10515.25"
"Allego","ALLG","Computer and Technology","Electronics - Miscellaneous Products","NYSE",""
"Alpha Lithium","ALLIF","Basic Materials","Mining - Miscellaneous","OTC",""
"Allakos","ALLK","Medical","Medical - Biomedical and Genetics","NSDQ","261.55"
"Allogene Therapeutics","ALLO","Medical","Medical - Biomedical and Genetics","NSDQ","541.85"
"Allarity Therapeutics, Inc.","ALLR","Medical","Medical - Biomedical and Genetics","NSDQ","2.38"
"Allot","ALLT","Business Services","Technology Services","NSDQ","57.26"
"Allena Pharmaceuticals","ALNAQ","Medical","Medical - Biomedical and Genetics","OTC",".01"
"ANA","ALNPY","Transportation","Transportation - Airline","OTC",""
"ALLIENT INC","ALNT","Computer and Technology","Electronics - Miscellaneous Components","NSDQ","460.23"
"Alnylam Pharmaceuticals","ALNY","Medical","Medical - Biomedical and Genetics","NSDQ","24269.09"
"Allied Resources","ALOD","Oils-Energy","Oil and Gas - Exploration and Production - United States","OTCBB",".9"
"AstroNova","ALOT","Business Services","Technology Services","NSDQ","126.36"
"alphaEn","ALPE","Business Services","Technology Services","OTCBB","0"
"Astellas Pharma","ALPMY","Medical","Medical - Drugs","OTC","21860.73"
"Alpine Immune Sciences","ALPN","Medical","Medical - Drugs","NSDQ","1188.1"
"Alpine 4 Holdings, Inc.","ALPP","Conglomerates","Diversified Operations","NSDQ","17.76"
"Alpine Summit Energy Partners, Inc.","ALPSQ","Oils-Energy","Oil and Gas - Integrated - United States","OTC",".15"
"Alarm.com","ALRM","Industrial Products","Security and Safety Services","NSDQ","3134.75"
"Aileron Therapeutics","ALRN","Medical","Medical - Biomedical and Genetics","NSDQ","17.87"
"ALR Technologies SG Ltd.","ALRTF","Medical","Medical Services","OTC","19.32"
"Alpha Star Acquisition","ALSA","Unclassified","Unclassified","NSDQ","137.41"
"Alseres Pharmaceuticals","ALSE","Medical","Medical - Drugs","OTC",""
"Alstom","ALSMY","Transportation","Transportation - Rail","OTC","4842.07"
"Allison Transmission Holdings","ALSN","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","5097.07"
"Altimmune","ALT","Medical","Medical - Drugs","NSDQ","644.75"
"Alta Equipment Group","ALTG","Industrial Products","Manufacturing - General Industrial ","NYSE","362.2"
"ARCADIUM LITHM","ALTM","Basic Materials","Chemical - Specialty","NYSE","1046.02"
"Alto Ingredients","ALTO","Consumer Discretionary","Consumer Products - Discretionary","NSDQ","165.99"
"Altair Engineering","ALTR","Construction","Engineering - R and D Services","NSDQ","6878.39"
"Altitude Acquisition","ALTU","Medical","Medical Services","NSDQ","94.01"
"Altex Industries","ALTX","Oils-Energy","Oil and Gas - Exploration and Production - United States","OTCBB","2.19"
"Allurion Technologies, Inc.","ALUR","Medical","Medical - Products","NYSE","175.78"
"Autoliv","ALV","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","8769.06"
"Alvotech","ALVO","Medical","Medical - Biomedical and Genetics","NSDQ",""
"Alvopetro Energy","ALVOF","Oils-Energy","Alternative Energy - Other","OTC","184.48"
"AlloVir","ALVR","Medical","Medical - Drugs","NSDQ","79.34"
"ALX Oncology Holdings","ALXO","Medical","Medical - Biomedical and Genetics","NSDQ","714.4"
"Alithya Group","ALYA","Business Services","Technology Services","NSDQ","130.64"
"Alzamend Neuro","ALZN","Medical","Medical - Biomedical and Genetics","NSDQ","6.94"
"Antero Midstream","AM","Oils-Energy","Oil and Gas - Integrated - United States","NYSE","5881.28"
"Amadeus IT Group","AMADY","Business Services","Technology Services","OTC",""
"Ambrx Biopharma Inc.","AMAM","Medical","Medical - Biomedical and Genetics","NSDQ","1766.31"
"Applied Materials","AMAT","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","125698.88"
"Ambarella","AMBA","Computer and Technology","Electronics - Semiconductors","NSDQ","2270.39"
"AMBIPAR EMERGNC","AMBI","Industrial Products","Industrial Services","AMEX","410.03"
"Ambow Education Holding","AMBO","Consumer Discretionary","Schools","AMEX","4.11"
"Ardagh Metal Packaging","AMBP","Industrial Products","Metal Products - Procurement and Fabrication","NYSE","2175.22"
"Amarantus Bioscience Holdings","AMBS","Medical","Medical Services","OTC",".5"
"AMC Entertainment","AMC","Consumer Discretionary","Leisure and Recreation Services","NYSE","904.51"
"Andatee China Marine Fuel Services","AMCF","Oils-Energy","Oil and Gas - Refining and Marketing","OTC",""
"Amcor","AMCR","Industrial Products","Containers - Paper and Packaging","NYSE","14102.77"
